,tweet_id,date,original_tweets,cleaned_tweets,sentiment
218,1073455381886717952,2018-12-14,No artist should ever diss me for clout   Period,no aist should ever diss me for clout period,0
219,1073455308717068289,2018-12-14,I need that love and respect that we didn’t give Michael while I’m alive,need that love and respect that we didn give michael while alive,1
220,1073455142249422848,2018-12-14,If I wasn’t here all artist would do memorial songs,if wasn here all aist would do memorial songs,0
221,1073455032341807105,2018-12-14,If I wasn’t hear all artist would be doing memorial songs,if wasn hear all aist would be doing memorial songs,0
222,1073454748383277056,2018-12-14,I actually like sickomode but I don’t like that that is was sneak disses,actually like sickomode but don like that that is was sneak disses,0
223,1073454527456649216,2018-12-14,Love to all artist,love to all aist,1
224,1073454487816290304,2018-12-14,I love everybody all positive energy    No one that is a musician should ever diss me     My existence is for the rights of all artist,love everybody all positive energy no one that is musician should ever diss me my existence is for the rights of all aist,1
225,1073454066137747456,2018-12-14,All positive energy   I got love for everyone     Just don’t sneak diss or diss at all    I paid the dues for all weirdos,all positive energy got love for everyone just don sneak diss or diss at all paid the dues for all weirdos,1
226,1073450950759727105,2018-12-14,I have a problem with sneak disssing,have problem with sneak disssing,0
227,1073450372671463429,2018-12-14,I hit Trav earlier today    Now he just hit me    More threats,hit trav earlier today now he just hit me more threats,1
228,1073449810513022977,2018-12-14,Drake called me threatening me,drake called me threatening me,0
229,1073449530778140672,2018-12-14,It’s not about rap     It’s about family   We have to be close as a family and never let these people infiltrate just for radio spins,it not about rap it about family we have to be close as family and never let these people infiltrate just for radio spins,0
230,1073448735651389441,2018-12-14,Family first,family first,1
231,1073448667200348161,2018-12-14,Fuck clout,fuck clout,-1
232,1073448366485454848,2018-12-14,Fuck that sickomode song        Family first and always,fuck that sickomode song family first and always,-1
233,1073445471065116672,2018-12-14,It’s what I felt   And have been feeling for awhile   All positive   All love,it what felt and have been feeling for awhile all positive all love,1
234,1073445021456719872,2018-12-14,Perhaps I should have been more like water today,perhaps should have been more like water today,1
235,1073444077658615808,2018-12-14,All positive energy,all positive energy,1
236,1073444032913793024,2018-12-14,We should all be on this planet working together,we should all be on this planet working together,0
238,1073436086184087552,2018-12-14,Trying to kick me while I’m down,trying to kick me while down,-1
239,1073435959109316609,2018-12-14,Our brother is lost and confused,our brother is lost and confused,-1
240,1073435909763276800,2018-12-14,If Drake would go at Ye that there is interviews that he loves me then he doesn’t give a fuck about anyone,if drake would go at ye that there is interviews that he loves me then he doesn give fuck about anyone,-1
241,1073435737004142592,2018-12-14,You tried to hurt my pockets,you tried to hu my pockets,0
242,1073435673573683204,2018-12-14,You threatened the safety of me and my family,you threatened the safety of me and my family,0
243,1073435604577333253,2018-12-14,Noooooo moooooore fake playing with peoples lives kids and mental health,noooooo moooooore fake playing with peoples lives kids and mental health,-1
244,1073435496519487488,2018-12-14,Noooooooo moooooore cap,noooooooo moooooore cap,0
245,1073435422502596608,2018-12-14,He passes Drakes the crib everyday,he passes drakes the crib everyday,-1
246,1073435345675542529,2018-12-14,To the right    It’s   On sight     Saint stays to the right,to the right it on sight saint stays to the right,1
247,1073435148786515968,2018-12-14,This clout shit done got outta hand bro,this clout shit done got outta hand bro,-1
248,1073435066754314240,2018-12-14,Trav is my family and let this met throw sneak disses at me for clout,trav is my family and let this met throw sneak disses at me for clout,0
249,1073434964027416576,2018-12-14,I heard Drake had more bars dissing me that were removed,heard drake had more bars dissing me that were removed,1
250,1073434854694576128,2018-12-14,I used to bring Travis with me everywhere with me    Im an inspiration to both him and Drake,used to bring travis with me everywhere with me im an inspiration to both him and drake,0
251,1073428217590091776,2018-12-14,Only positive energy,only positive energy,1
252,1073424149220130816,2018-12-14,I will never put negative energy into a song,will never put negative energy into song,-1
253,1073424000431329280,2018-12-14,I will never make a diss record,will never make diss record,0
254,1073419723503742977,2018-12-14,You’re mad at me for something I didn’t do,you re mad at me for something didn do,-1
255,1073419657443467266,2018-12-14,I would never mention your (blank),would never mention your blank,0
256,1073419555198902272,2018-12-14,I’m Ye bro    Remember that   I love you   I would never intentionally hurt you     That’s what I’ve been saying to you,ye bro remember that love you would never intentionally hu you that what ve been saying to you,1
257,1073419343176892416,2018-12-14,This year has been really tough and you have added to the confusion,this year has been really tough and you have added to the confusion,-1
258,1073419195528998912,2018-12-14,Leave me and my family alone bro,leave me and my family alone bro,0
259,1073419144945721344,2018-12-14,But you’re playing into it    Why?   A false runner???  A beat???,but you re playing into it why false runner beat,-1
260,1073418915445948416,2018-12-14,You would be so sad if anything ever happened to me,you would be so sad if anything ever happened to me,-1
261,1073418845468180480,2018-12-14,Drake this is what they want,drake this is what they want,0
262,1073418802380111872,2018-12-14,This is a man speaking to a man that has been placed in the program to fuck with Kanye West head and set me up,this is man speaking to man that has been placed in the program to fuck with kanye west head and set me up,-1
263,1073418628014448640,2018-12-14,These tweets are not emotional,these tweets are not emotional,0
264,1073418391455703040,2018-12-14,To the right it’s on sight    Saint stays to the right bro,to the right it on sight saint stays to the right bro,1
265,1073418286694567936,2018-12-14,Never threaten north saint and Chicago’s dad bro,never threaten noh saint and chicago dad bro,0
266,1073418167484059648,2018-12-14,Never threatened north and saint and Chicago’s daddy bro,never threatened noh and saint and chicago daddy bro,0
267,1073418043592794114,2018-12-14,Trust god bro    God sees all    Stop the act     Cut the program,trust god bro god sees all stop the act cut the program,0
268,1073417762519818240,2018-12-14,Fear no man,fear no man,0
269,1073417727619018753,2018-12-14,Nobody scared of anything but god,nobody scared of anything but god,0
270,1073417670068965377,2018-12-14,Nobody scared of anything but gods,nobody scared of anything but gods,0
271,1073417589940981761,2018-12-14,Nobody scared of anything,nobody scared of anything,0
272,1073417264324636673,2018-12-14,Some true artist are a bit crazy   Everybody is not Programed,some true aist are bit crazy everybody is not programed,-1
273,1073417122381000706,2018-12-14,It’s not just you the world stigmatizes is and calls us crazy,it not just you the world stigmatizes is and calls us crazy,-1
274,1073417029263212544,2018-12-14,You are disrespectful to all people with mental health conditions so this is an opportunity for growth,you are disrespectful to all people with mental health conditions so this is an oppounity for growth,-1
275,1073416748446175232,2018-12-14,Trust God,trust god,0
276,1073416716296835072,2018-12-14,God sees all,god sees all,0
277,1073416675968585730,2018-12-14,Please take the devil 👿 up out you bro,please take the devil up out you bro,0
278,1073416583308021760,2018-12-14,We’re making the world better at all times,we re making the world better at all times,1
279,1073416476751740928,2018-12-14,This is for no ones entertainment,this is for no ones enteainment,0
280,1073416384472850433,2018-12-14,Or the Mandingo part on Jango,or the mandingo pa on jango,0
281,1073416284421963776,2018-12-14,Drake I’m not going to physically fight you like it’s MTV boxing,drake not going to physically fight you like it mtv boxing,0
282,1073416052699205632,2018-12-14,How you gone be on Trav’s song coming at me. Trav should have never allowed that,how you gone be on trav song coming at me trav should have never allowed that,0
283,1073415697194192896,2018-12-14,How you gone text Kriss but not speak to me,how you gone text kriss but not speak to me,0
284,1073414872979959808,2018-12-14,We need to show the world that we will speak without someone ending up dead or in jail,we need to show the world that we will speak without someone ending up dead or in jail,-1
285,1073414741572362245,2018-12-14,We need to show people we can talk without people ending up dead or in jail,we need to show people we can talk without people ending up dead or in jail,-1
286,1073414543630585857,2018-12-14,We need to show the world that people can talk without someone ending up dead or in jail,we need to show the world that people can talk without someone ending up dead or in jail,-1
287,1073414375954939904,2018-12-14,I’m up for talking.  We need to show all of these fans that black men can@talk without someone ending up dead or in jail,up for talking we need to show all of these fans that black men can without someone ending up dead or in jail,-1
288,1073414157884669952,2018-12-14,Ye never been easy.  I navigated these waters before you.  That’s why you could be you,ye never been easy navigated these waters before you that why you could be you,1
289,1073414039840145408,2018-12-14,You try to pick targets you think are easy,you try to pick targets you think are easy,1
290,1073413587660627970,2018-12-14,Talk tough to real gangsters bro,talk tough to real gangsters bro,-1
291,1073413510225383424,2018-12-14,You say all this shut to me but won’t say none of that to J prince,you say all this shut to me but won say none of that to prince,0
292,1073413375093342214,2018-12-14,You send emojis,you send emojis,0
293,1073413309943242753,2018-12-14,Bro stop,bro stop,0
294,1073413259204669440,2018-12-14,You get people hurt at concerts,you get people hu at conces,0
295,1073413210173259776,2018-12-14,You pick@on people with mental health issues,you pick people with mental health issues,-1
296,1073413116355117057,2018-12-14,You trying to be a bully. I never been bullied in my life and I never will be.  That’s why I made it this far in a pink polo,you trying to be bully never been bullied in my life and never will be that why made it this far in pink polo,0
297,1073412978018541568,2018-12-14,We both too high profile for you to actually do something to me,we both too high profile for you to actually do something to me,1
298,1073412558957240320,2018-12-14,Snoop is my elder and an inspiration to me,snoop is my elder and an inspiration to me,0
299,1073412438928842752,2018-12-14,There would never be a drake without a Kanye west so never come out your mouth with a threat,there would never be drake without kanye west so never come out your mouth with threat,0
300,1073412227644997632,2018-12-14,If I’m bipolar      This kind of shit can get me ramped,if bipolar this kind of shit can get me ramped,1
301,1073412144744579073,2018-12-14,Stop the act,stop the act,0
302,1073412113371144193,2018-12-14,Now it’s a kid in@critical condition,now it kid in condition,0
303,1073412064050319360,2018-12-14,Cause we rather act cool than sit and have a convo,cause we rather act cool than sit and have convo,1
304,1073411988099907585,2018-12-14,That’s why black people never get ahead and and we stay controlled,that why black people never get ahead and and we stay controlled,-1
305,1073411843362832384,2018-12-14,You wouldn’t send purple emojis to scooter but you wanna need with your brother,you wouldn send purple emojis to scooter but you wanna need with your brother,0
306,1073411739558035456,2018-12-14,I’m your oxygen,your oxygen,0
307,1073411703763812353,2018-12-14,Don’t ever speak on 350s,don ever speak on,0
308,1073411636210425856,2018-12-14,Now he’s so street,now he so street,0
309,1073411601158627329,2018-12-14,I’m the guy with the pink polo that made a way for him,the guy with the pink polo that made way for him,-1
310,1073411518111338496,2018-12-14,When I go through shit he fucks with me and I’m his idol,when go through shit he fucks with me and his idol,-1
311,1073411396803706880,2018-12-14,When Cudi was in the hospital he sent shots,when cudi was in the hospital he sent shots,0
312,1073411331963928577,2018-12-14,He be texting people I know like it’s cool     But won’t sit and talk with me,he be texting people know like it cool but won sit and talk with me,1
313,1073411010168528896,2018-12-14,He running around like he pac,he running around like he pac,0
314,1073410960076009472,2018-12-14,Everybody knows somebody,everybody knows somebody,0
315,1073410829867982848,2018-12-14,I got a family and kids. 69 is locked up xxx is dead.  The kid that ran on stage is in the hospital,got family and kids is locked up xxx is dead the kid that ran on stage is in the hospital,-1
316,1073410598174646272,2018-12-14,It just doesn’t sit right on my spirit,it just doesn sit right on my spirit,1
317,1073410452250681344,2018-12-14,So drake if anything happens to me or anyone from my family you are the first suspect    So cut the tough talk,so drake if anything happens to me or anyone from my family you are the first suspect so cut the tough talk,-1
318,1073410144250269696,2018-12-14,Since the pool line he’s been trying to poke at me and fuck with me,since the pool line he been trying to poke at me and fuck with me,-1
319,1073409797934985216,2018-12-14,The kid he had run on stage at Pushas concert is in critical condition,the kid he had run on stage at pushas conce is in critical condition,0
320,1073409789827387392,2018-12-14,Drake called trying to  threatened me,drake called trying to threatened me,0
321,1073399253966438400,2018-12-14,Trust God,trust god,0
322,1073372488241942528,2018-12-14,RT @WannaBeLikeKim: Congratulations @KimKardashian!! So proud of you. https://t.co/g5XuAiQNxL,congratulations so proud of you,1
323,1073328700513501187,2018-12-13,By the way... not cleared😂,by the way not cleared,0
324,1073326335152611328,2018-12-13,Mission accomplished,mission accomplished,1
325,1073326294979543041,2018-12-13,Drake finally called,drake finally called,0
327,1073323353241456640,2018-12-13,Stop this already bro      You getting people hurt out here     And over what,stop this already bro you getting people hu out here and over what,0
328,1073323241773654016,2018-12-13,Buying first two rows at Pusha show  got me hot bro,buying first two rows at pusha show got me hot bro,1
331,1073322296167796736,2018-12-13,This ain’t about who could pay to have something done to somebody    This man to man bro    This been bothering me too long,this ain about who could pay to have something done to somebody this man to man bro this been bothering me too long,-1
332,1073322071747366917,2018-12-13,No tough talk either,no tough talk either,1
333,1073321978625474562,2018-12-13,I would never intentionally try to hurt you bro     I never even heard none of the diss records      That ain’t my… https://t.co/QJs7lYLrur,would never intentionally try to hu you bro never even heard none of the diss records that ain my,0
334,1073321657824088069,2018-12-13,Sending purple emojis   When I’m dealing with mental shit      I need my apologies now      Not through scooter eit… https://t.co/p70ggGNjsJ,sending purple emojis when dealing with mental shit need my apologies now not through scooter eit,-1
335,1073321268529766401,2018-12-13,It’s all love bro bro but don’t play with me.  You stay too close to be playing all these industry games bro,it all love bro bro but don play with me you stay too close to be playing all these industry games bro,1
336,1073320879705202691,2018-12-13,I told you I ain’t tell Pusha about your son,told you ain tell pusha about your son,0
337,1073320449088675841,2018-12-13,Been trying to meet with you for 6 months bro       You sneak dissing on trav records and texting Kris talking bout how’s the family,been trying to meet with you for months bro you sneak dissing on trav records and texting kris talking bout how the family,0
338,1073320212806684678,2018-12-13,Still need that apology for mentioning the 350s and trying to take food out your idols kids mouths,still need that apology for mentioning the and trying to take food out your idols kids mouths,0
339,1073319978579955712,2018-12-13,This proves shit faker than wrestling https://t.co/E9wzNycJna,this proves shit faker than wrestling,1
341,1073295948992909313,2018-12-13,Went to visit the James Turrell crater two days ago. This is life changing. We all will live in Turrell spaces,went to visit the james turrell crater two days ago this is life changing we all will live in turrell spaces,1
342,1073262332736925697,2018-12-13,God answers your prayer three ways.   Yes not yet of I have a better plan for you.,god answers your prayer three ways yes not yet of have better plan for you,1
343,1073193533467754497,2018-12-13,RT @i_iove_nature: I want to touch the lava so bad ... but I would be setting a bad example. https://t.co/FztcIZY4ft,want to touch the lava so bad but would be setting bad example,-1
344,1072985275943583745,2018-12-12,Talking tree @FairchildGarden https://t.co/pXudOf656F,talking tree,0
345,1072955689566396416,2018-12-12,Calling out to Bob Dylan   Let’s get together,calling out to bob dylan let get together,0
347,1072912952913813504,2018-12-12,Croc https://t.co/LneQ4RCpbE,croc,0
348,1072912721262321664,2018-12-12,Message for Elon from @FairchildGarden https://t.co/crZJsSfkoc,message for elon from,0
349,1072508998635712513,2018-12-11,Landscaping is a conversation with God,landscaping is conversation with god,0
350,1072292910031360000,2018-12-11,Every no gets closer to a yes @gdizzle99 Gil Dezer,every no gets closer to yes gil dezer,0
356,1072247532431003654,2018-12-10,Visit Fairchild Tropical Botanic Garden,visit fairchild tropical botanic garden,0
359,1072237585186086912,2018-12-10,Orchids meant to plant throughout south Florida https://t.co/SKYuCegUSJ,orchids meant to plant throughout south florida,0
361,1071568651491438592,2018-12-09,RT @kourtneykardash: Growth doesn’t happen in your comfort zone.,growth doesn happen in your comfo zone,0
362,1071568485963177986,2018-12-09,RT @Maha_Sattva: Two of my favorite paintings from this year. @kanyewest @KidCudi https://t.co/gO9ysIKQ97,two of my favorite paintings from this year,1
364,1071171465251381255,2018-12-07,RT @DrJackKruse: TODAY's LESSON: https://t.co/xPQYAzuOLy https://t.co/jbCpI9XHZ1,today lesson,0
365,1071138921562693633,2018-12-07,RT @KimKardashian: Congrats babe on your 69th Grammy nomination!!!!!! #ProducerOfTheYear @kanyewest,congrats babe on your th grammy nomination produceroftheyear,0
368,1070682131775414274,2018-12-06,"RT @TeamKanyeDaily: Kim: What were you doing?
Kanye: 🤷‍♂️ 

😂😂😂 https://t.co/nvQatr4tky",kim what were you doing kanye,0
369,1069792161850384384,2018-12-04,@jarrodspector @TheCherShow the dynamics of Cher and Sonny’s relationship made Kim and I grab each other’s hand and… https://t.co/XoVpcjdPnM,the dynamics of cher and sonny relationship made kim and grab each other hand and,-1
371,1069661394122039296,2018-12-03,https://t.co/NrSpU6oKZE     My favorite app https://t.co/cJlk8khVhU,my favorite app,1
372,1069661065900974081,2018-12-03,"RT @trvisXX: #1 album and #1 single. 
God is good.",album and single god is good,1
373,1069300083827646464,2018-12-02,"undrcvr jn tkhsh jkt 
vn clf brclt 
yzy ssn 6 t 
chrstn trssr dsgnd 700s stvn smth bttm 
brn dd swts frm dvr st mrk… https://t.co/dmYKh4piaE",undrcvr jn tkhsh jkt vn clf brclt yzy ssn chrstn trssr dsgnd stvn smth bttm brn dd swts frm dvr st mrk,0
374,1068611802030698496,2018-11-30,@S_C_ Throne 2 🤷🏿‍♂️,throne,0
375,1067941367056424960,2018-11-29,"RT @chartdata: .@6ix9ine, @NICKIMINAJ and @kanyewest's ""MAMA"" has reached #1 on US Apple Music.",and mama has reached on us apple music,0
384,1066455148422029312,2018-11-24,Oscar Niemeyer https://t.co/Cdbr2fezA2,oscar niemeyer,0
385,1066454703800631297,2018-11-24,Vanessa Beecroft https://t.co/OL50oW9Mse,vanessa beecroft,0
387,1065755704319860737,2018-11-22,RT @TheEllenShow: This firefighter lost his home while he was saving others. @KimKardashian had an unbelievable surprise for him. https://t…,this firefighter lost his home while he was saving others had an unbelievable surprise for him,-1
388,1065755611831271424,2018-11-22,"RT @TeamKanyeDaily: Kim: “I think he’s kind of joking, but all week he’s like, ‘You know what, I love just being a dad. It would be so fun…",kim think he kind of joking but all week he like you know what love just being dad it would be so fun,1
389,1065755378598596608,2018-11-22,"RT @artworkbyjb: MY BEAUTIFUL DARK TWISTED FANTASY
#8yearsofmbdtf @kanyewest @TeamKanyeDaily https://t.co/nKgOVVWlIE",my beautiful dark twisted fantasy yearsofmbdtf,1
390,1065755317806391296,2018-11-22,RT @lightzqueen: #MBDTF https://t.co/iml0eTtk7t,mbdtf,0
391,1065732864736550913,2018-11-22,RT @i_iove_nature: Nine-year-old Marley cries tears of joy when her mother surprises her with a new kitten that Marley has named Ella. http…,nine year old marley cries tears of joy when her mother surprises her with new kitten that marley has named ella http,1
392,1065117269573853184,2018-11-21,RT @BarackObama: Thanks to the Chicago @FoodDepository team for all you do and to the volunteers who are doing great work and let me crash…,thanks to the chicago team for all you do and to the volunteers who are doing great work and let me crash,1
393,1064894417503309824,2018-11-20,RT @BarbieTingz___: All my chicagoans say Wop https://t.co/rOAEWO9d0m,all my chicagoans say wop,0
395,1064230822952099841,2018-11-18,We believe in love    We don’t just try we do.. we are... We are love,we believe in love we don just try we do we are we are love,1
396,1063636094556631040,2018-11-17,RT @adidasoriginals: All profits from sales of the YEEZY Calabasas Track Pant in the U.S. will be donated to @calfund and @CAFireFound. Ava…,all profits from sales of the yeezy calabasas track pant in the will be donated to and ava,0
397,1063636030174068736,2018-11-17,RT @KimKardashian: FAMILY https://t.co/WGd7GLbPfa,family,0
398,1063610340229885952,2018-11-17,RT @trvisXX: ASTROWORLD FEST TOMORROW AHHHHHH https://t.co/OKJpywOiKA,astroworld fest tomorrow ahhhhhh,0
400,1063461937114038272,2018-11-16,Building a fireproof community,building fireproof community,0
402,1063148849739362306,2018-11-15,I’d like to do an interview with Van Jones within the next 7 days 🙌🏿,like to do an interview with van jones within the next days,0
406,1062892813975674881,2018-11-15,We sang Backstreet Boys I want it that way https://t.co/IzGHk7i7OP,we sang backstreet boys want it that way,0
407,1062808662429683712,2018-11-14,Office shopping https://t.co/ghJTPTf9iV,office shopping,0
408,1062478937278664705,2018-11-13,RT @colinags: then God said let there be beauty and from the worlds infinite sources of beauty he made  Kim. The book of Genesis (extended)…,then god said let there be beauty and from the worlds infinite sources of beauty he made kim the book of genesis extended,0
409,1062146496793964545,2018-11-13,"It felt so good being on the stage last night with my brother Cudi. After performing again, I realize the new album… https://t.co/05NoK8ZXAA",it felt so good being on the stage last night with my brother cudi after performing again realize the new album,1
410,1062141718085029889,2018-11-13,@JERRYlorenzo  new collection is 🔥 bro.  Love you brother,new collection is bro love you brother,1
411,1062108664826195968,2018-11-12,RT @theyeezymafia: RIP Stan Lee 🙏 #Nighthawk @Marvel https://t.co/cZqr9ookvv,rip stan lee nighthawk,0
412,1062108545196281856,2018-11-12,"RT @kuwthewests: Kim for KKW Beauty latest collection, Glam Bible. https://t.co/Cik7fEOHF2",kim for kkw beauty latest collection glam bible,1
413,1062108480796950531,2018-11-12,RT @Real923LA: #Kanye gave @bigboy the jacket off his back 🥰 #CampFlogGnaw https://t.co/gXzrHStp9T,kanye gave the jacket off his back campfloggnaw,0
415,1062098703383584768,2018-11-12,RT @samuelrobinsonJ: Before Kids See Ghost perform their very first full set at #CampFlogGnaw lets reminisce on some classic @KidCudi / @ka…,before kids see ghost perform their very first full set at campfloggnaw lets reminisce on some classic,1
416,1062098534260830208,2018-11-12,"RT @kuwthewests: KIDS SEE GHOSTS 🔥
#CampFlogGnaw https://t.co/UiM0MNw2HL",kids see ghosts campfloggnaw,0
417,1062017725290008576,2018-11-12,RT @tylerthecreator: i feel freeeeeee,feel freeeeeee,0
418,1062016735585329152,2018-11-12,RT @TeamKanyeDaily: I’M SO REBORN https://t.co/C9gUSC0zc1,so reborn,0
419,1062016704245465088,2018-11-12,RT @KrisJenner: It was such an honor to receive the amazing People’s Choice Award last night and we thank you from the bottom of our hearts…,it was such an honor to receive the amazing people choice award last night and we thank you from the bottom of our heas,1
420,1061729175692693504,2018-11-11,Show day https://t.co/RGE9MYZKnF,show day,0
421,1061575245172068352,2018-11-11,Loading in https://t.co/tEF8SEU4DR,loading in,0
422,1061564600192163840,2018-11-11,RT @tylerthecreator: this my favorite song right now https://t.co/bCLI165t4l,this my favorite song right now,1
425,1061346248383324160,2018-11-10,RT @UniversallyCAPE: @kanyewest Good Morning Brethren! I hope that all is well with you! I have this piece by @prematureicon that I’m sure…,good morning brethren hope that all is well with you have this piece by that sure,1
426,1061346172986511360,2018-11-10,"In light of these situations, I am so inspired by the firefighters and first responders who are risking their lives… https://t.co/7FQBdOlpWV",in light of these situations am so inspired by the firefighters and first responders who are risking their lives,1
427,1061346030610837504,2018-11-10,"My sincere condolences to everyone suffering from the loss of their homes, loved ones and the unknown certainty of… https://t.co/K56hJYdDPq",my sincere condolences to everyone suffering from the loss of their homes loved ones and the unknown ceainty of,1
428,1061327247607422976,2018-11-10,"RT @TeamKanyeDaily: Looks like Yeezy sneaker sales are doing just fine. Thank you, next. https://t.co/oSBFgJvNay",looks like yeezy sneaker sales are doing just fine thank you next,1
429,1061026889932857344,2018-11-09,"RT @KimKardashian: Fire Fighters, I love you and thank you for doing all that you can to keep us safe!",fire fighters love you and thank you for doing all that you can to keep us safe,1
430,1060936673125519365,2018-11-09,RT @jeremyyyywest: GOAT https://t.co/ErEXGDd530,goat,0
431,1060936646365929472,2018-11-09,RT @colinags: this is how quick the 350s are selling out https://t.co/hz5tSYnia5,this is how quick the are selling out,1
432,1060936333340770305,2018-11-09,Thank you for everyone’s prayers.  Our family is safe and close,thank you for everyone prayers our family is safe and close,1
433,1060751042818662400,2018-11-09,"RT @thedaysbefore_: @kanyewest If kanye has million fans I'm one of them
If kanye has five fans I'm one of them.
If kanye has one fan that…",if kanye has million fans one of them if kanye has five fans one of them if kanye has one fan that,0
434,1060749127812694016,2018-11-09,RT @FTPflame: Sheck Wes performing Mo Bamba at the 1st #ASTROWORLDTour show in Baltimore 🔥 @sheckwes https://t.co/sAHNfM0wkw,sheck wes performing mo bamba at the st astroworldtour show in baltimore,0
436,1060700477069844480,2018-11-09,Break the internet https://t.co/SKdC94OMQB,break the internet,0
441,1060589357046751232,2018-11-08,Raise confidence and consciousness,raise confidence and consciousness,0
442,1060586243732398080,2018-11-08,RT @yeezyenergy: I’m ready to witness the gods @kanyewest and @KidCudi together again 👻 https://t.co/5f7YpM9J89,ready to witness the gods and together again,1
443,1060586101138587649,2018-11-08,Remove stress,remove stress,0
445,1059088750062428160,2018-11-04,McDonald’s is my favorite restaurant,mcdonald is my favorite restaurant,1
449,1058051088375439360,2018-11-01,RT @Diddy: Who's afraid of clowns??? https://t.co/wZXaINKVzh,who afraid of clowns,-1
450,1058050777988587521,2018-11-01,RT @KimKardashian: Guess who https://t.co/LRD9BN2M6K,guess who,0
451,1058050344746283009,2018-11-01,RT @kuwthewests: PAMELA 🔥 https://t.co/prA4LvbHXH,pamela,0
452,1058049919787786240,2018-11-01,RT @KimKardashian: I love you my sisters. Forever my angels. https://t.co/ySrRX9DJ8y,love you my sisters forever my angels,1
453,1057828803127468032,2018-11-01,Scoop https://t.co/7aykoIzr8L,scoop,0
455,1057544988282757120,2018-10-31,RT @overdramatique: Yajuj and Majuj (Gog and Magog) might just be bots.,yajuj and majuj gog and magog might just be bots,0
456,1057382916760707072,2018-10-30,My eyes are now wide open and now realize I’ve been used to spread messages I don’t believe in. I am distancing mys… https://t.co/o0RJeT0Nnc,my eyes are now wide open and now realize ve been used to spread messages don believe in am distancing mys,-1
457,1057382888520499201,2018-10-30,I introduced Candace to the person who made the logo and they didn’t want their name on it so she used mine. I neve… https://t.co/KGkIISMu05,introduced candace to the person who made the logo and they didn want their name on it so she used mine neve,0
458,1057366629326053376,2018-10-30,"I would like to thank my family, loved ones, and community for supporting my ACTUAL beliefs and my vision for a better world.",would like to thank my family loved ones and community for suppoing my actual beliefs and my vision for better world,1
459,1057366623621955586,2018-10-30,I support those who risk their lives to serve and protect us and I support holding people who misuse their power ac… https://t.co/iyJFaWnr38,suppo those who risk their lives to serve and protect us and suppo holding people who misuse their power ac,0
460,1057366616432930816,2018-10-30,"I support creating jobs and opportunities for people who need them the most, I support prison reform, I support com… https://t.co/ncMQqbeAY9",suppo creating jobs and oppounities for people who need them the most suppo prison reform suppo com,1
461,1057354881546272769,2018-10-30,RT @KimKardashian: I loved my glam this night. @makeupbymario @michaelsilvahair https://t.co/wuQSnmTdY8,loved my glam this night,1
462,1057354836956626945,2018-10-30,RT @TeamKanyeDaily: Perri-Ye yourself with the @Perrier Snapchat filter. 😂 https://t.co/8j2c75yBqU https://t.co/4d2MnQoFQx,perri ye yourself with the snapchat filter,0
463,1057351631128481792,2018-10-30,RT @Perrier: Use our new Extraordinaire Snapchat Lens 👻 and post your video anywhere you want with #PERRIERCostume to try and win Perrier p…,use our new extraordinaire snapchat lens and post your video anywhere you want with perriercostume to try and win perrier,1
464,1057344830790135809,2018-10-30,RT @EamonOfficial: @kanyewest I’ll never forget the time we met in Rome and you told me “I just bought your album yesterday”. Made my day t…,ll never forget the time we met in rome and you told me just bought your album yesterday made my day,0
465,1057327116881158146,2018-10-30,RT @Editwithmouse: Well @kanyewest said it best https://t.co/vGU6Eallz7,well said it best,1
468,1057235890765004800,2018-10-30,"RT @KanyePodcast: @kanyewest Kids See Ghosts is an album about overcoming your ghosts, your demons. Throughout the course of the album, Kan…",kids see ghosts is an album about overcoming your ghosts your demons throughout the course of the album kan,0
469,1057232228353273856,2018-10-30,"RT @070Updates: PSA:🚨

“GHOST TOWN” @kanyewest feat. @070shake &amp; @partynextdoor 

is now certified GOLD. 📀

#070 
#YE https://t.co/6DBLusdP…",psa ghost town feat is now ceified gold ye,0
470,1057232027995553794,2018-10-30,RT @KimKardashian: Please check out exclusive interviews now on https://t.co/HMG1Wp4dJY site! Everyone needs to get out &amp; vote now!  #youar…,please check out exclusive interviews now on site everyone needs to get out vote now youar,0
471,1057232012115873792,2018-10-30,RT @KimKardashian: Watch the full episodes &amp; more at https://t.co/HMG1Wp4dJY #youareenough #yourvotecounts #bewoke.vote  #empoweryourself h…,watch the full episodes more at youareenough yourvotecounts bewoke vote empoweryourself,1
472,1057231232222793728,2018-10-30,With Jacques Herzog   Office out in Basel https://t.co/8OESRCpkdY,with jacques herzog office out in basel,0
474,1057029804611043329,2018-10-29,RT @KanyePodcast: @udochiokeke1 @kanyewest I think the voodoo doll has something to do with Tyga flying around. So it’s like Nicki’s causin…,think the voodoo doll has something to do with tyga flying around so it like nicki causin,0
476,1056998627737042944,2018-10-29,"RT @KimKardashian: #KKWBODY III (UNISEX) is a modern, woody floral opening with Pink &amp; Black Pepper and finishes with layers of creamy Sand…",kkwbody iii unisex is modern woody floral opening with pink black pepper and finishes with layers of creamy sand,-1
477,1056989384438890496,2018-10-29,RT @butsmallhead: Yes hello @kanyewest 👋🎙 thank much for follow! 👀 we just want make world laugh &amp; it great to get support from Ye. As rewa…,yes hello thank much for follow we just want make world laugh it great to get suppo from ye as rewa,1
